,Player_URL,Name,Date_of_Birth,City_of_Birth,Country_of_Birth,Citizenship,Height,Foot,Agent,Outfitter,Main_Position,Other_Position,Youth_Club,Avg Temp
0,https://www.transfermarkt.com/iker-casillas/profil/spieler/3979,Iker Casillas,20/05/1981,Móstoles,Spain,['Spain'],182,left,380amk,adidas,Goalkeeper,,,14.64146131
1,https://www.transfermarkt.com/diego-lopez/profil/spieler/34370,Diego López,03/11/1981,Paradela,Spain,['Spain'],196,right,Manuel García Quilón,,Goalkeeper,,,14.64146131
2,https://www.transfermarkt.com/antonio-adan/profil/spieler/44062,Antonio Adán,13/05/1987,Madrid,Spain,['Spain'],190,left,Gesport Espizua SL,,Goalkeeper,,['1995-1997: CDEF Mejorada\r\n1997-2002: Real Madrid CF'],14.64146131
3,https://www.transfermarkt.com/jesus-fernandez/profil/spieler/91885,Jesús Fernández,11/06/1988,Madrid,Spain,['Spain'],190,left,RSWORLDWIDE,,Goalkeeper,,,14.64146131
4,https://www.transfermarkt.com/sergio-ramos/profil/spieler/25557,Sergio Ramos,30/03/1986,Camas,Spain,['Spain'],184,right,RR-Soccer Management Agency,Mizuno,Centre-Back,['Right-Back'],"['Camas CF (1992-1996)', ' Sevilla FC (1996-2003)']",14.64146131
5,https://www.transfermarkt.com/raphael-varane/profil/spieler/164770,Raphaël Varane,25/04/1993,Lille,France,"['France', 'Martinique']",191,right,CAA Base Ltd,Puma,Centre-Back,,"['AS Hellemmes (2000-2002)', ' RC Lens (2002-2010)']",13.84704464
6,https://www.transfermarkt.com/pepe/profil/spieler/14132,Pepe,26/02/1983,Maceió,Brazil,"['Portugal', 'Brazil']",187,right,Gestifute,Umbro,Centre-Back,['Defensive Midfield'],['Corinthians Alagoano (1995–2001)'],25.56622917
7,https://www.transfermarkt.com/raul-albiol/profil/spieler/15452,Raúl Albiol,04/09/1985,Vilamarxant,Spain,['Spain'],190,right,Football Capital,,Centre-Back,,,14.64146131
8,https://www.transfermarkt.com/nacho-fernandez/profil/spieler/58884,Nacho Fernández,18/01/1990,Madrid,Spain,['Spain'],180,right,Niagara Sports Company,,Centre-Back,"['Right-Back', 'Left-Back']",['AD Complutense (1999-2001)'],14.64146131
9,https://www.transfermarkt.com/ricardo-carvalho/profil/spieler/9828,Ricardo Carvalho,18/05/1978,Amarante,Portugal,['Portugal'],182,right,Gestifute,,Centre-Back,,"['Amarante FC', ' FC Porto']",15.61498214
10,https://www.transfermarkt.com/diego-llorente/profil/spieler/246291,Diego Llorente,16/08/1993,Madrid,Spain,['Spain'],186,right,Gelu Rodríguez,,Centre-Back,"['Right-Back', 'Defensive Midfield']","['Perez Galdós (2000–01)', ' Trabenco (2001–02)', '']",14.64146131
11,https://www.transfermarkt.com/marcelo/profil/spieler/44501,Marcelo,12/05/1988,Rio de Janeiro,Brazil,"['Brazil', 'Spain']",174,left,Relatives,adidas,Left-Back,['Left Midfield'],,25.56622917
12,https://www.transfermarkt.com/fabio-coentrao/profil/spieler/33648,Fábio Coentrão,11/03/1988,Vila do Conde,Portugal,['Portugal'],179,left,Gestifute,Nike,Left-Back,"['Left Winger', 'Right Winger']",['Rio Ave FC (1999-06)'],15.61498214
13,https://www.transfermarkt.com/alvaro-arbeloa/profil/spieler/28260,Álvaro Arbeloa,17/01/1983,Salamanca,Spain,['Spain'],184,right,Manuel García Quilón,,Right-Back,['Left-Back'],['Real Zaragoza'],14.64146131
14,https://www.transfermarkt.com/xabi-alonso/profil/spieler/7476,Xabi Alonso,25/11/1981,Tolosa,Spain,['Spain'],183,right,,adidas,Defensive Midfield,['Central Midfield'],['Antiguoko (1990–1999)'],14.64146131
15,https://www.transfermarkt.com/lassana-diarra/profil/spieler/23914,Lassana Diarra,10/03/1985,Paris,France,"['France', 'Mali']",173,right,,,Defensive Midfield,"['Central Midfield', 'Right-Back']","['Paris FC (1998-1999)', ' FC Nantes (1999-2001)', ' UC Le Mans (2001-2002)', ' Le Havre AC (2002-2004)']",13.84704464
16,https://www.transfermarkt.com/michael-essien/profil/spieler/5588,Michael Essien,03/12/1982,Accra,Ghana,"['Ghana', 'France']",178,right,,,Defensive Midfield,"['Central Midfield', 'Right-Back']",['Liberty Professionals Accra'],27.51019048
17,https://www.transfermarkt.com/casemiro/profil/spieler/16306,Casemiro,23/02/1992,São José dos Campos,Brazil,"['Brazil', 'Spain']",185,right,Best of You,,Defensive Midfield,,,25.56622917
18,https://www.transfermarkt.com/fabinho/profil/spieler/225693,Fabinho,23/10/1993,Campinas,Brazil,['Brazil'],188,right,Gestifute,adidas,Defensive Midfield,"['Right-Back', 'Centre-Back']","['Paulínia Futebol Clube (2005-2011)', ' Fluminense FC (2011-2012)']",25.56622917
19,https://www.transfermarkt.com/omar-mascarell/profil/spieler/142031,Omar Mascarell,02/02/1993,Santa Cruz de Tenerife,Spain,"['Spain', 'Equatorial Guinea']",181,right,LEADERBROCK,adidas,Defensive Midfield,['Central Midfield'],"['UD Santa Cruz (1998-2000)', ' UD Tegueste (2000-2007)', ' CD Laguna de Tenerife (2007-2010)']",14.64146131
20,https://www.transfermarkt.com/luka-modric/profil/spieler/27992,Luka Modric,09/09/1985,Zadar,Jugoslawien (SFR),['Croatia'],172,right,Universal Twenty Two,Nike,Central Midfield,['Attacking Midfield'],,#N/A
21,https://www.transfermarkt.com/sami-khedira/profil/spieler/29401,Sami Khedira,04/04/1987,Stuttgart,Germany,"['Germany', 'Tunisia']",189,right,NGM SPORTS,Nike,Central Midfield,['Defensive Midfield'],,9.38714881
22,https://www.transfermarkt.com/esteban-granero/profil/spieler/44065,Esteban Granero,02/07/1987,Madrid,Spain,['Spain'],180,right,Best of You,,Central Midfield,['Attacking Midfield'],,14.64146131
23,https://www.transfermarkt.com/jose-rodriguez/profil/spieler/165012,José Rodríguez,16/12/1994,Villajoyosa,Spain,['Spain'],181,right,CAA Stellar,,Central Midfield,['Defensive Midfield'],['Villajoyosa C.F (2002-2007)'],14.64146131
24,https://www.transfermarkt.com/mesut-ozil/profil/spieler/35664,Mesut Özil,15/10/1988,Gelsenkirchen,Germany,['Germany'],180,left,GROW,Nike,Attacking Midfield,"['Left Winger', 'Right Winger']","['Westfalia 04 Gelsenkirchen (1995-1998)', ' DJK Teutonia Schalke (1998–1999)', ' DJK Falke Gelsenkirchen (1999–2000)', ' Rot-Weiss Essen (2000-2005)', ' FC Schalke 04 (2005-2006)']",9.38714881
