,Player_URL,Name,Date_of_Birth,City_of_Birth,Country_of_Birth,Citizenship,Height,Foot,Agent,Outfitter,Main_Position,Other_Position,Youth_Club
0,https://www.transfermarkt.com/iker-casillas/profil/spieler/3979,Iker Casillas,1981-05-20,Móstoles,Spain,['Spain'],182.0,left,380amk,adidas,Goalkeeper,,
1,https://www.transfermarkt.com/diego-lopez/profil/spieler/34370,Diego López,1981-11-03,Paradela,Spain,['Spain'],196.0,right,Manuel García Quilón,,Goalkeeper,,
2,https://www.transfermarkt.com/antonio-adan/profil/spieler/44062,Antonio Adán,1987-05-13,Madrid,Spain,['Spain'],190.0,left,Gesport Espizua SL,,Goalkeeper,,['1995-1997: CDEF Mejorada\r\n1997-2002: Real Madrid CF']
3,https://www.transfermarkt.com/jesus-fernandez/profil/spieler/91885,Jesús Fernández,1988-06-11,Madrid,Spain,['Spain'],190.0,left,RSWORLDWIDE,,Goalkeeper,,
4,https://www.transfermarkt.com/sergio-ramos/profil/spieler/25557,Sergio Ramos,1986-03-30,Camas,Spain,['Spain'],184.0,right,RR-Soccer Management Agency,Mizuno,Centre-Back,['Right-Back'],"['Camas CF (1992-1996)', ' Sevilla FC (1996-2003)']"
5,https://www.transfermarkt.com/raphael-varane/profil/spieler/164770,Raphaël Varane,1993-04-25,Lille,France,"['France', 'Martinique']",191.0,right,CAA Base Ltd,Puma,Centre-Back,,"['AS Hellemmes (2000-2002)', ' RC Lens (2002-2010)']"
6,https://www.transfermarkt.com/pepe/profil/spieler/14132,Pepe,1983-02-26,Maceió,Brazil,"['Portugal', 'Brazil']",187.0,right,Gestifute,Umbro,Centre-Back,['Defensive Midfield'],['Corinthians Alagoano (1995–2001)']
7,https://www.transfermarkt.com/raul-albiol/profil/spieler/15452,Raúl Albiol,1985-09-04,Vilamarxant,Spain,['Spain'],190.0,right,Football Capital,,Centre-Back,,
8,https://www.transfermarkt.com/nacho-fernandez/profil/spieler/58884,Nacho Fernández,1990-01-18,Madrid,Spain,['Spain'],180.0,right,Niagara Sports Company,,Centre-Back,"['Right-Back', 'Left-Back']",['AD Complutense (1999-2001)']
9,https://www.transfermarkt.com/ricardo-carvalho/profil/spieler/9828,Ricardo Carvalho,1978-05-18,Amarante,Portugal,['Portugal'],182.0,right,Gestifute,,Centre-Back,,"['Amarante FC', ' FC Porto']"
10,https://www.transfermarkt.com/diego-llorente/profil/spieler/246291,Diego Llorente,1993-08-16,Madrid,Spain,['Spain'],186.0,right,Gelu Rodríguez,,Centre-Back,"['Right-Back', 'Defensive Midfield']","['Perez Galdós (2000–01)', ' Trabenco (2001–02)', '']"
11,https://www.transfermarkt.com/marcelo/profil/spieler/44501,Marcelo,1988-05-12,Rio de Janeiro,Brazil,"['Brazil', 'Spain']",174.0,left,Relatives,adidas,Left-Back,['Left Midfield'],
12,https://www.transfermarkt.com/fabio-coentrao/profil/spieler/33648,Fábio Coentrão,1988-03-11,Vila do Conde,Portugal,['Portugal'],179.0,left,Gestifute,Nike,Left-Back,"['Left Winger', 'Right Winger']",['Rio Ave FC (1999-06)']
13,https://www.transfermarkt.com/alvaro-arbeloa/profil/spieler/28260,Álvaro Arbeloa,1983-01-17,Salamanca,Spain,['Spain'],184.0,right,Manuel García Quilón,,Right-Back,['Left-Back'],['Real Zaragoza']
14,https://www.transfermarkt.com/xabi-alonso/profil/spieler/7476,Xabi Alonso,1981-11-25,Tolosa,Spain,['Spain'],183.0,right,,adidas,Defensive Midfield,['Central Midfield'],['Antiguoko (1990–1999)']
15,https://www.transfermarkt.com/lassana-diarra/profil/spieler/23914,Lassana Diarra,1985-03-10,Paris,France,"['France', 'Mali']",173.0,right,,,Defensive Midfield,"['Central Midfield', 'Right-Back']","['Paris FC (1998-1999)', ' FC Nantes (1999-2001)', ' UC Le Mans (2001-2002)', ' Le Havre AC (2002-2004)']"
16,https://www.transfermarkt.com/michael-essien/profil/spieler/5588,Michael Essien,1982-12-03,Accra,Ghana,"['Ghana', 'France']",178.0,right,,,Defensive Midfield,"['Central Midfield', 'Right-Back']",['Liberty Professionals Accra']
17,https://www.transfermarkt.com/casemiro/profil/spieler/16306,Casemiro,1992-02-23,São José dos Campos,Brazil,"['Brazil', 'Spain']",185.0,right,Best of You,,Defensive Midfield,,
18,https://www.transfermarkt.com/fabinho/profil/spieler/225693,Fabinho,1993-10-23,Campinas,Brazil,['Brazil'],188.0,right,Gestifute,adidas,Defensive Midfield,"['Right-Back', 'Centre-Back']","['Paulínia Futebol Clube (2005-2011)', ' Fluminense FC (2011-2012)']"
19,https://www.transfermarkt.com/omar-mascarell/profil/spieler/142031,Omar Mascarell,1993-02-02,Santa Cruz de Tenerife,Spain,"['Spain', 'Equatorial Guinea']",181.0,right,LEADERBROCK,adidas,Defensive Midfield,['Central Midfield'],"['UD Santa Cruz (1998-2000)', ' UD Tegueste (2000-2007)', ' CD Laguna de Tenerife (2007-2010)']"
20,https://www.transfermarkt.com/luka-modric/profil/spieler/27992,Luka Modric,1985-09-09,Zadar,Jugoslawien (SFR),['Croatia'],172.0,right,Universal Twenty Two,Nike,Central Midfield,['Attacking Midfield'],
21,https://www.transfermarkt.com/sami-khedira/profil/spieler/29401,Sami Khedira,1987-04-04,Stuttgart,Germany,"['Germany', 'Tunisia']",189.0,right,NGM SPORTS,Nike,Central Midfield,['Defensive Midfield'],
22,https://www.transfermarkt.com/esteban-granero/profil/spieler/44065,Esteban Granero,1987-07-02,Madrid,Spain,['Spain'],180.0,right,Best of You,,Central Midfield,['Attacking Midfield'],
